Nume_Actiune,Timestamp
new Instance of Adresa,24/04/2021 21:34:42
addComanda,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:42
new Instance of Adresa,24/04/2021 21:34:43
new Instance of Adresa,24/04/2021 21:34:43
new Instance of Adresa,24/04/2021 21:34:43
new Instance of Adresa,24/04/2021 21:34:56
addComanda,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,24/04/2021 21:34:56
new Instance of Adresa,23/05/2021 21:23:28
addComanda,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:23:29
new Instance of Adresa,23/05/2021 21:24:40
addComanda,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:24:40
new Instance of Adresa,23/05/2021 21:43:11
addComanda,23/05/2021 21:43:11
new Instance of Adresa,23/05/2021 21:43:11
new Instance of Adresa,23/05/2021 21:43:11
